KEY	ja	zh-TW	ms	fil
des_t	意匠特許登録	設計專利登記	Pendaftaran paten reka bentuk	Design patent registration
des_e	Design Patent Registration	Design Patent Registration	Design Patent Registration	Design Patent Registration
des_d	登録番号：第30-1086989号<br>登録日：2020年12月9日	登錄編號：第30-1086989號<br>登錄日：2020年12月9日	No. pendaftaran: 30-1086989<br>Tarikh: 9 Dis 2020	Reh. no. 30-1086989<br>Petsa: 9 Dis 2020
tech_t	技術特許登録	技術專利登記	Paten teknologi	Technology patent
tech_e	Technology Patent Registration	Technology Patent Registration	Technology Patent Registration	Technology Patent Registration
tech_d	特許番号：第10-2684472号<br>登録日：2024年7月9日	專利號：第10-2684472號<br>登錄日：2024年7月9日	No. paten: 10-2684472<br>9 Jul 2024	Patent no. 10-2684472<br>Hul 9, 2024
safe_title	安全認証	安全認證	Pensijilan keselamatan	Sertipikasyon sa kaligtasan
ihdi_t	国際股関節協会認証	國際髖關節協會認證	Pengiktirafan IHDI	IHDI certification
ihdi_e	IHDI「ヒップヘルシー」認定	IHDI「髖部健康」認證	IHDI "Hip-Healthy"	IHDI "Hip-Healthy"
ihdi_q	IHDIは、正しい使い方であればベベスワン ベスト型抱っこ紐を<strong style="color: #22c55e;">「ヒップヘルシー」</strong>製品と認めます。	IHDI 認可在正確使用下，貝貝天鵝背心式揹帶為<strong style="color: #22c55e;">髖部健康</strong>產品。	IHDI mengiktiraf pembawa bayi rompi BEBESWAN sebagai produk <strong style="color: #22c55e;">hip-healthy</strong> jika digunakan betul.	Kinikilala ng IHDI ang BEBESWAN vest carrier bilang <strong style="color: #22c55e;">hip-healthy</strong> kapag tamang gamit.
ihdi_src	— 国際股関節協会（IHDI）、2020	— 國際髖關節協會（IHDI），2020	— IHDI, 2020	— IHDI, 2020
kc_t	韓国KC安全認証	韓國KC安全認證	Pensijilan keselamatan KC Korea	KC Korea safety mark
kc_e	Korea Certification（KC）安全マーク	韓國 KC 安全標章	Tanda keselamatan KC Korea	Korea Certification (KC) Safety Mark
kc_p	韓国産業通商資源部 国家技術標準院の<strong style="color: #3b82f6;">KC安全マーク</strong>を取得し、製品の安全性を公式に認証しました。	取得韓國產業通商資源部國家技術標準院的<strong style="color: #3b82f6;">KC安全標章</strong>，正式認證產品安全性。	Mendapat <strong style="color: #3b82f6;">tanda KC</strong> daripada Institut Piawaian Teknologi Kebangsaan Korea, mengesahkan keselamatan produk.	Nakakuha ng <strong style="color: #3b82f6;">KC safety mark</strong> mula sa KATS, opisyal na kinikilala ang kaligtasan ng produkto.
kc_src	— 国家技術標準院（KATS）	— 國家技術標準院（KATS）	— KATS	— KATS
hist_title	企業沿革	企業沿革	Sejarah syarikat	Kasaysayan ng kumpanya
hist_sub	ベベスワンの革新の歩みとベスト型抱っこ紐の進化	貝貝天鵝的創新旅程與背心式揹帶演進	Perjalanan inovasi BEBESWAN & evolusi gendong rompi	Paglalakbay ng inobasyon ng BEBESWAN at ebolusyon ng vest carrier
hist_2019	2019年9月設立	2019年9月成立	Ditubuhkan September 2019	Itinatag Setyembre 2019
hist_20a	世界初のベスト型抱っこ紐発売	全球首創背心式揹帶上市	Pelancaran pertama gendong rompi dunia	Unang vest carrier sa mundo
hist_20b	女性発明品博覧会 金賞	女性發明品博覽會 金獎	Emas Ekspo Penemu Wanita	Gold Women Inventors Expo
hist_20c	女性家族部長官賞	女性家族部部長獎	Anugerah Menteri Keluarga	Minister of Family award
hist_24a	韓国消費者ベストブランド大賞	韓國消費者最佳品牌大獎	Anugerah Jenama Terbaik Pengguna Korea	Korea Consumer Best Brand
hist_24b	日本輸出開始	開始出口日本	Mula eksport ke Jepun	Simula ng export sa Japan
hist_24c	Korea Brand Award 1位	Korea Brand Award 第1名	Korea Brand Award No.1	Korea Brand Award No.1
hist_25a	KCBI韓国消費者大賞	韓國消費者大獎（KCBI）	Anugerah Pengguna Korea KCBI	KCBI Korea Consumer Award
hist_25b	（株）ベベスワン設立	貝貝天鵝股份有限公司成立	Penubuhan BEBESWAN Co., Ltd.	Pagtatatag ng BEBESWAN Inc.
hist_26a	米国市場進出契約締結	美國市場進入合約確定	Kontrak masuk pasaran AS	Kasunduan sa US market entry
hist_26b	プレミアム新製品「エタニティ」発売	高階新品「ETERNITY」上市	Pelancaran premium "ETERNITY"	Paglulunsad ng premium na "ETERNITY"
lineup_title	ベスト型抱っこ紐ラインナップ	背心式揹帶產品線	Susunan gendong rompi	Linup ng vest carrier
lineup_quote	「ママと赤ちゃんのためにだけ」<br>ベベスワンの研究所は今も研究を続けます	「只為媽媽與寶寶」<br>貝貝天鵝研發中心持續研究	"Hanya untuk ibu & bayi"<br>makmal BEBESWAN terus meneliti	"Para lang sa ina at sanggol"<br>patuloy ang pananaliksik ng BEBESWAN
lineup_img_alt	ベスト型ラインナップ年表	背心型產品線年表	Garis masa linup rompi	Timeline ng lineup ng vest
qa_sn	よくある質問	常見問答	Soalan lazim	Q&A
qa_title	よくある質問	常見問題	Soalan kerap	Madalas itanong
qa_intro	ベベスワン エタニティについて<br>お客様からよく寄せられる質問をまとめました。	關於貝貝天鵝 ETERNITY，<br>整理顧客最常詢問的問題。	Soalan lazim tentang BEBESWAN ETERNITY.	Mga tanong tungkol sa BEBESWAN ETERNITY.
qcat1	1. 対象年齢・サイズ	1. 適用對象與尺寸	1. Umur & saiz	1. Edad at sukat
qcat2	2. 装着感・健康	2. 穿戴感與健康	2. Keselesaan & kesihatan	2. Komport at kalusugan
qcat3	3. 機能・使い方	3. 功能與使用	3. Fungsi & penggunaan	3. Function at paggamit
qcat4	4. 素材・安全性	4. 材質與安全	4. Bahan & keselamatan	4. Materyales at kaligtasan
qcat5	5. 洗濯・お手入れ	5. 洗滌與保養	5. Basuh & penjagaan	5. Labada at alaga
q1	Q: 何ヶ月から使えますか？	Q: 幾個月大可以使用？	B: Dari bulan berapa?	T: Mula anong buwan?
a1	<strong>A:</strong> 新生児（0ヶ月）から<strong>36ヶ月（体重15kg未満）</strong>まで。	<strong>A:</strong> 新生兒（0個月）至<strong>36個月（體重15kg以下）</strong>。	<strong>A:</strong> newborn hingga <strong>36 bulan (&lt;15kg)</strong>.	<strong>A:</strong> newborn hanggang <strong>36 buwan (&lt;15kg)</strong>.
q2	Q: 体格の大きいパパや祖父母も使えますか？	Q: 體型較大的爸爸或祖父母也能用嗎？	B: Bapa atau datuk besar boleh?	T: Puwede ba ang malaking tatay o lolo/lola?
a2	<strong>A:</strong> はい。エタニティはサイズ制限をなくし、胸囲・ウエスト最大約160cmまで調整可能。装着者体重43〜100kg、身長155〜190cmを目安に広くご利用いただけます。	<strong>A:</strong> 可以。ETERNITY 放寬尺寸，胸圍與腰圍最大約可調至160cm；建議穿著者體重43–100kg、身高155–190cm。	<strong>A:</strong> Ya. Dada/pinggang max ~160cm; berat 43–100kg, tinggi 155–190cm disyorkan.	<strong>A:</strong> Oo. Hanggang ~160cm dibdib/baywang; inirerekomenda 43–100kg, 155–190cm taas.
q3	Q: 長時間つけても肩・腰は本当に楽？	Q: 長時間背負真的不會肩腰痠？	B: Bahu/pinggang tak sakit lama-lama?	T: Hindi ba masakit sa balikat/baywang nang matagal?
a3	<strong>A:</strong> 通常の抱っこ紐と異なり<strong>ベスト型</strong>で荷重を一点に集めず<strong>背中全体に分散</strong>。公的試験で優れた分散が実証。自然な姿勢を保ち痛みを抑えます。	<strong>A:</strong> 與一般揹帶不同，<strong>背心式</strong>將重量<strong>分散於整片背部</strong>而非單點；公證壓力測試已驗證。有助維持姿勢、減輕不適。	<strong>A:</strong> Berbeza: <strong>rompi</strong> agih beban ke <strong>seluruh belakang</strong>; ujian bertauliah membuktikan.	<strong>A:</strong> Iba ang <strong>vest</strong>: ipinapantay ang bigat sa <strong>buong likod</strong>; napatunayang test.
q4	Q: ひとりでも簡単に着けられますか？	Q: 一個人也能輕鬆穿上嗎？	B: Boleh pakai sendiri?	T: Kaya bang isuot mag-isa?
a4	<strong>A:</strong> はい。背中で止める複雑なバックルはありません。ベストのように着て<strong>前面ファスナーを上げるだけ</strong>。約<strong>5秒</strong>で装着可能です。	<strong>A:</strong> 是。無需在背後摸索的複雜扣具；像穿背心一樣，<strong>拉起正面拉鍊即可</strong>，約<strong>5秒</strong>完成。	<strong>A:</strong> Ya. Tiada buckle rumit di belakang; pakai macam rompi, <strong>zip depan sahaja</strong>, ~<strong>5 saat</strong>.	<strong>A:</strong> Oo. Walang komplikadong buckle sa likod; parang vest, <strong>harap na zipper lang</strong>, ~<strong>5 segundo</strong>.
q5	Q: つけたまま授乳できますか？	Q: 揹著也能哺乳嗎？	B: Boleh menyusu sambil gendong?	T: Puwedeng magpadede habang naka-carrier?
a5	<strong>A:</strong> はい。脱がずに内側のステイロックファスナーを下げたり肩バックルを調整し、対面のまま<strong>母乳・ミルク</strong>がしやすいです。	<strong>A:</strong> 可以。不必脱下，可拉下內側止滑拉鍊或調肩扣，維持對面姿勢方便<strong>母乳或配方奶</strong>。	<strong>A:</strong> Ya. Buka zip dalaman atau laraskan buckle bahu, hadap-hadapan untuk <strong>susu</strong>.	<strong>A:</strong> Oo. Ibaba ang inner zipper o ayusin ang shoulder buckle, harap-harapang <strong>pagpapadede</strong>.
q6	Q: お出かけでチェア（ブースター）にも？	Q: 外出時也能當兒童椅（增高座）？	B: Jadi booster di luar?	T: Puwedeng booster sa labas?
a6	<strong>A:</strong> はい。飲食店の<strong>椅子に抱っこ紐を装着して固定</strong>すれば、携帯ブースターとして活躍します。	<strong>A:</strong> 可以。將揹帶<strong>套在一般椅子上並固定</strong>，即可作為便攜增高座。	<strong>A:</strong> Ya. <strong>Pakai pada kerusi biasa & kunci</strong> sebagai booster mudah alih.	<strong>A:</strong> Oo. <strong>Isuot sa ordinaryong upuan at i-secure</strong> bilang portable booster.
q7	Q: 寝ている赤ちゃんを起こさず寝かせられますか？	Q: 能讓睡著的寶寶不醒就放下嗎？	B: Letak bayi tidur tanpa bangun?	T: Maaaring ilapag ang tulog na sanggol nang hindi gigising?
a7	<strong>A:</strong> ベルクロの代わりに<strong>静音ジッパー</strong>。背中の<strong>バックジッパー</strong>を開け、玉ねぎの皮のように静かに降ろせます。	<strong>A:</strong> 使用<strong>靜音拉鍊</strong>取代大聲魔鬼氈；打開背部<strong>拉鍊</strong>可安靜卸下，減少吵醒。	<strong>A:</strong> <strong>Zip senyap</strong> mengganti velcro; buka <strong>zip belakang</strong> untuk turunkan perlahan.	<strong>A:</strong> <strong>Tahimik na zipper</strong> imbes na velcro; buksan ang <strong>likod na zipper</strong> para dahan-dahang babaan.
q8	Q: チャイルドシートのたびに毎回外す必要は？	Q: 每次上汽座都要整件脱下嗎？	B: Perlu tanggal setiap kali kerusi kereta?	T: Kailangan bang tanggalin tuwing car seat?
a8	<strong>A:</strong> 全体を脱がず<strong>赤ちゃんだけ抱えて乗せればOK</strong>。保護者はベストを着たまま運転へ。	<strong>A:</strong> 不必整件脱下，<strong>只抱寶寶坐上汽座</strong>即可；照護者可繼續穿著背心開車。	<strong>A:</strong> Tidak perlu tanggal semua; <strong>angkat bayi ke kerusi</strong>. Ibu bapa kekal pakai rompi.	<strong>A:</strong> Hindi kailangan tanggalin lahat; <strong>buhatin ang sanggol papunta sa upuan</strong>. Mananatiling naka-vest ang magulang.
q9	Q: 夏は暑すぎませんか？	Q: 夏天會不會太熱？	B: Panas sangat musim panas?	T: Mainit ba sa tag-init?
a9	<strong>A:</strong> 通気性の高い<strong>エアメッシュ</strong>。親子の間に<strong>エアシールド（メッシュ）</strong>で蒸れを軽減。専用ポケットに<strong>保冷剤</strong>も入れられます。	<strong>A:</strong> 透氣<strong>空氣網布</strong>；親子間有<strong>透氣網層</strong>減少悶熱；專用口袋可放<strong>冰袋</strong>。	<strong>A:</strong> <strong>Airmesh</strong> bernafas; <strong>lapisan mesh</strong> antara ibu & bayi; poket untuk <strong>ais pek</strong>.	<strong>A:</strong> <strong>Air mesh</strong> na breathable; <strong>mesh layer</strong> sa pagitan; pocket para sa <strong>ice pack</strong>.
q10	Q: 安全認証はありますか？	Q: 有安全認證嗎？	B: Ada pensijilan?	T: May safety certification ba?
a10	<strong>A:</strong> 韓国<strong>KC</strong>に加え、米<strong>CPSIA</strong>・<strong>ASTM</strong>、欧州<strong>CE</strong>を取得。<strong>IHDI</strong>の股関節配慮認証も完了しています。	<strong>A:</strong> 除韓國<strong>KC</strong>外，亦具美國<strong>CPSIA</strong>、<strong>ASTM</strong>與歐盟<strong>CE</strong>；並完成<strong>IHDI</strong>髖關節健康相關認證。	<strong>A:</strong> <strong>KC</strong> Korea, <strong>CPSIA</strong>, <strong>ASTM</strong> US, <strong>CE</strong> EU, serta <strong>IHDI</strong>.	<strong>A:</strong> <strong>KC</strong> Korea, US <strong>CPSIA</strong>/<strong>ASTM</strong>, EU <strong>CE</strong>, at <strong>IHDI</strong>.
q11	Q: 洗濯機は使えますか？	Q: 可以用洗衣機嗎？	B: Boleh mesin basuh?	T: Puwedeng washing machine?
a11	<strong>A:</strong> 冷水・中性洗剤、<strong>洗濯ネットに入れウールコースで単独洗い</strong>推奨。ファスナー・バックルは閉じた状態で。<strong>乾燥機は厳禁</strong>、日陰干し。	<strong>A:</strong> 建議冷水中性洗劑、<strong>洗衣袋單獨柔洗（羊毛模式）</strong>；拉鍊與扣具請扣好。<strong>禁止烘乾</strong>，陰乾。	<strong>A:</strong> Air sejuk, detergen neutral, <strong>dalam beg basuh, kursus wool solo</strong>. Zip/buckle tertutup. <strong>Jangan dryer</strong>, kering angin.	<strong>A:</strong> Malamig na tubig, neutral soap, <strong>sa laundry bag, wool cycle solo</strong>. Isara zipper/buckle. <strong>Bawal dryer</strong>, paypayin sa lilim.
q12	Q: 無償A/S期間は？	Q: 免費售後期間多久？	B: Tempoh jaminan percuma?	T: Gaano katagal ang libreng warranty?
a12	<strong>A:</strong> 購入日から<strong>1年間の品質保証</strong>。製造上の不具合は無償対応。	<strong>A:</strong> 自購買日起<strong>一年品質保固</strong>；製造瑕疵免費處理。	<strong>A:</strong> <strong>1 tahun jaminan</strong> dari tarikh beli; kerosakan kilang dibaiki percuma.	<strong>A:</strong> <strong>1 taon na warranty</strong> mula sa pagbili; libreng ayos kung depekto sa paggawa.
tip_label	TIP	TIP	TIP	TIP
tip_body	抱えるときは下から<strong>手のひらひとつ分ほどファスナーを残して</strong>止めると上げやすく、上げた後もう一度押して<strong>二重ロック</strong>を確認するとより安全です。	抱起時可從下方<strong>預留約一手掌的拉鍊空間</strong>再扣合會更好拉；拉上後再按一次確認<strong>雙重鎖定</strong>更安全。	<strong>Biarkan zip bawah sebesar tapak tangan</strong> sebelum kunci untuk mudah naik; tekan sekali lagi untuk <strong>kunci berganda</strong>.	<strong>Mag-iwan ng isang palad na zipper sa ibaba</strong> bago i-lock para mas madaling itaas; pindutin muli para sa <strong>dobleng lock</strong>.
